Year,Month,Source,Location,Event
2019,Aug-19,Wikipedia,Texas," 23 people are killed and another 23 are injured in a mass shooting at a Walmart in El Paso, Texas."
2019,Aug-19,Wikipedia,Ohio," A gunman opened fire on a bar in Dayton, Ohio. He killed nine people and injured another 27."
2019,Aug-19,Wikipedia,National," Financier and convicted sex offender Jeffrey Epstein is found dead in his prison cell under mysterious circumstances. It was declared a suicide by hanging, although the ruling is widely disputed."
2019,Aug-19,Wikipedia,National," An anonymous whistleblower filed a complaint against Donald Trump and Rudy Giuliani, claiming that the two sought foreign intervention in the 2020 presidential election. This complaint would lead to an investigation into the Trump-Ukraine scandal."
2019,Aug-19,thoughtco,National,"new push was made in Congress for gun control measures. Among the proposals were stronger background checks and limits on high-capacity magazines. ""Red flag"" laws also were proposed to allow police or family members to file a court petition to remove firearms from individuals who might pose a danger to themselves or others."
2019,Sep-19,Wikipedia,National, Speaker of the House Nancy Pelosi announces the House of Representatives would begin an impeachment inquiry against Donald Trump.
2019,Dec-19,Wikipedia,National, The U.S. House of Representatives impeaches President Donald J. Trump for high crimes and misdemeanors.
2020,Jan-20,Wikipedia,National, The first patient in the United States is diagnosed with coronavirus.
2020,Jan-20,Wikipedia,National," Kobe Bryant, along with his daughter and 7 others, perished in a helicopter crash."
2020,Feb-20,Wikipedia,National, The majority of the United States Senate voted to acquit Donald Trump of charges related to the Trump-Ukraine scandal.
2020,Feb-20,Wikipedia,National," - Coronavirus declared a global pandemic, leading to a global shut-down."
2020,Feb-20,Wikipedia,Wisconson," 6 people are killed in a mass shooting in Milwaukee, Wisconsin, before the perpetrator killed himself."
